"","B cell__100","B cell__77","B cell__89","B cell__90","B cell__99","Eosinophil__19","Eosinophil__20","Eosinophil__86","LinNeg__10","LinNeg__25","LinNeg__26","LinNeg__27","LinNeg__28","LinNeg__29","LinNeg__30","LinNeg__34","LinNeg__35","LinNeg__36","LinNeg__37","LinNeg__38","LinNeg__39","LinNeg__40","LinNeg__44","LinNeg__45","LinNeg__46","LinNeg__47","LinNeg__48","LinNeg__49","LinNeg__50","LinNeg__57","LinNeg__58","LinNeg__59","LinNeg__60","LinNeg__66","LinNeg__68","LinNeg__7","LinNeg__70","LinNeg__76","LinNeg__78","LinNeg__80","LinNeg__97","mDC__88","Monocytes__1","Monocytes__11","Monocytes__12","Monocytes__13","Monocytes__14","Monocytes__15","Monocytes__2","Monocytes__22","Monocytes__23","Monocytes__24","Monocytes__3","Monocytes__4","Monocytes__5","Monocytes__56","Monocytes__69","Neutrophils__12","Neutrophils__17","Neutrophils__18","Neutrophils__23","Neutrophils__24","Neutrophils__25","Neutrophils__26","Neutrophils__27","Neutrophils__28","Neutrophils__29","Neutrophils__30","Neutrophils__32","Neutrophils__35","Neutrophils__36","NK cell__55","NK cell__87","NK cell__91","NK cell__98","pDC__79","T cell_CD4_21","T cell_CD4_31","T cell_CD4_42","T cell_CD4_51","T cell_CD4_52","T cell_CD4_53","T cell_CD4_54","T cell_CD4_61","T cell_CD4_63","T cell_CD4_64","T cell_CD4_65","T cell_CD4_71","T cell_CD4_72","T cell_CD4_73","T cell_CD4_74","T cell_CD4_75","T cell_CD8_32","T cell_CD8_62","T cell_CD8_67","T cell_CD8_83","T cell_CD8_84","T cell_CD8_85","T cell_CD8_92","T cell_CD8_93","T cell_CD8_94","T cell_CD8_95","T cell_CD8_96","T cell_DN_82","T cell_gdT_18","T cell_gdT_33","T cell_gdT_43","T cell_gdT_8","T cell_gdT_9","T cell_Other_41","T cell_Other_81"
"8310",1.50995011532479,2.01040605052835,0.363675374135064,0.415169232419675,0.0182374081424663,0.16520946199646,4.89567129753795,0.0209193799281232,0.0337928444992759,0.0434479429276404,0.00804591535697045,0.0182374081424663,0.0262833234994368,0.0455935203561659,0.0182374081424663,0.000536394357131363,0.0595397736415813,0.0327200557850131,0.00804591535697045,0.0573941962130558,NA,0.239231883280588,0.084213914069624,0.0107278871426273,0.0670492946414204,NA,0.037011210642064,0.215630531566808,NA,0.0107278871426273,0.203293461352787,0.226358418709435,NA,0.181301292710401,0.306281177922008,0.00107278871426273,NA,0.0944054068551199,0.0300380839993563,0.00160918307139409,0.0756316043555222,0.116397575497506,0.000536394357131363,NA,0.00482754921418227,0.000536394357131363,0.736469452341361,0.0573941962130558,0.000536394357131363,0.00536394357131363,0.00536394357131363,0.163600278925066,3.38357560478464,0.645818805986161,0.00858230971410181,0.0123370702140213,NA,0.781526578340396,2.23676446923778,0.225285629995172,3.32779059164298,1.78190205439039,0.701067424770691,0.892560210266588,2.48028750737542,2.5038888590892,0.62168105991525,0.237622700209194,0.70053103041356,24.7680094405407,0.293407713350856,0.111570026283324,0.453253231776002,NA,0.0461299147132972,0.146435659496862,0.00536394357131363,0.00750952099983908,0.00536394357131363,0.736469452341361,0.00482754921418227,8.60644746017272,1.35546854047095,0.0788499704983104,0.0252105347851741,0.00107278871426273,1.77653811081907,0.0134098589282841,0.100305744783565,0.00268197178565681,0.00375476049991954,15.006168535107,1.75937349139087,0.182374081424663,2.05814514831304,0.0327200557850131,0.00482754921418227,0.395322641205815,0.00107278871426273,0.00590033792844499,6.68132811242826,1.08244381269109,0.608271200986966,0.0359384219278013,0.000536394357131363,0.0734860269269967,0.285898192351016,0.0514938582846108,0.00107278871426273,NA,NA
"8312",0.158457283802975,0.521713132521115,0.409597129830331,0.334853128036475,0.145003363480081,0.27505792660139,0.222737125345691,0.147993123551835,0.910381941849167,0.134539203228941,0.0553105613274535,0.345317288287615,0.09866208236789,0.319904327677704,0.224232005381568,0.0074744001793856,0.497795051947081,0.18686000448464,0.134539203228941,0.155467523731221,0.00896928021526272,7.45048209881157,0.328873607892967,1.66081171985948,0.805740339337768,0.0134539203228941,1.34240227221765,0.835637940055311,NA,2.38134389715225,0.421556170117348,2.04798564915166,NA,0.037372000896928,1.22281186934748,0.00448464010763136,NA,0.127064803049555,0.814709619553031,0.049331041183945,0.89842290156215,0.47238209133717,0.00149488003587712,NA,0.00149488003587712,0.0194334404664026,6.33679647208312,0.324388967785335,0.0104641602511398,0.150982883623589,NA,0.273563046565513,0.653262575678302,0.133044323193064,0.251139846027356,0.303460647283056,0.00149488003587712,11.9022348456536,1.53823155691756,1.6204499588908,3.34703640032887,0.745945137902683,0.521713132521115,8.37431796098363,1.68323492039764,1.60400627849615,4.60572539053741,0.795276179086628,0.343822408251738,0.689139696539353,0.41557664997384,0.146498243515958,0.436504970476119,NA,0.00597952014350848,0.061290081470962,0.0523208012556992,0.00448464010763136,0.0224232005381568,0.505269452126467,0.284027206816653,1.45003363480081,3.61013528664325,0.0298976007175424,0.237685925704462,0.0523208012556992,10.0665221615965,0.0149488003587712,0.203303684879288,0.200313924807534,0.303460647283056,1.05986994543688,1.70117348082816,0.191344644592271,0.19732416473578,0.115105762762538,0.191344644592271,3.24837431796098,0.00896928021526272,0.0358771208610509,0.850586740414082,0.195829284699903,0.0911876821885044,0.21825248523806,0.0164436803946483,0.243665445847971,0.1763958442335,0.0254129606099111,NA,NA,NA
"8315",0.0100381449508131,0.180686609114636,0.160610319213009,0.0100381449508131,0.0200762899016262,0.0200762899016262,0.311182493475206,0.0602288697048785,NA,0.230877333868701,0.220839188917888,0.0803051596065047,0.361373218229271,1.75667536639229,3.20216823930938,0.0100381449508131,1.78678980124473,0.772937161212608,NA,1.25476811885164,NA,3.34270226862076,0.401525798032524,8.63280465769926,0.170648464163823,NA,2.88094760088336,0.0401525798032524,NA,4.57739409757077,4.51716522786589,7.72937161212608,NA,0.481830957639028,16.9243123870709,NA,NA,0.542059827343907,14.44489058422,0.0702670146556916,0.0100381449508131,0.0200762899016262,NA,NA,NA,NA,NA,0.0100381449508131,NA,0.0100381449508131,NA,NA,NA,NA,NA,NA,NA,6.56494679783176,0.732784581409356,0.762899016261795,0.220839188917888,0.321220638426019,2.6801847018671,2.50953623770327,0.0100381449508131,1.48564545272034,0.652479421802851,1.04396707488456,2.88094760088336,0.250953623770327,4.40674563340695,0.0100381449508131,0.0200762899016262,NA,NA,NA,NA,NA,NA,0.0100381449508131,NA,NA,NA,NA,NA,NA,0.0803051596065047,NA,NA,NA,0.0100381449508131,NA,NA,NA,NA,NA,NA,0.0100381449508131,NA,NA,NA,NA,0.0401525798032524,NA,NA,0.0100381449508131,NA,0.0301144348524393,NA,NA,NA
"8316",0.110536025034916,0.675165990753811,0.136676301225606,0.214350264763655,0.0321151964628472,0.0545211474834383,1.29431710395614,0.0112029755102955,0.035102656598926,0.0873832089803052,0.020165355918532,0.0231528160546108,0.20015982911728,0.0933581292524628,0.0619897978236353,NA,0.338329860410925,0.642303929256944,0.00224059510205911,0.042571306939123,0.0014937300680394,1.4631086016446,0.0194184908845123,0.0851426138782461,0.035102656598926,NA,0.792423801094904,0.0649772579597141,NA,0.268124547213073,0.361482676465536,0.895491175789623,NA,0.245718596192482,1.52285780436617,NA,NA,0.0545211474834383,0.111282890068936,0.0014937300680394,0.0590023376875565,0.0358495216329457,NA,NA,NA,0.0253934111566699,1.88508734586573,0.0530274174153989,0.0014937300680394,0.0164310307484334,0.0014937300680394,0.0291277363267684,0.873832089803052,0.960468433749337,0.00821551537421672,0.00373432517009851,NA,14.2964904812051,2.75518511049868,4.88225672738679,6.15566161039039,8.39102865721136,1.45265249116832,17.2593040711613,4.31687989663388,1.81861635783798,0.660975555107437,0.991089900144145,7.04144354073775,6.4290142128416,0.669191070481653,0.22704697034199,1.45788054640646,NA,0.0216590859865714,0.0395838468030442,0.000746865034019702,NA,0.00224059510205911,0.070205313197852,0.0014937300680394,0.312936449254255,1.14046290694809,0.000746865034019702,NA,0.0014937300680394,0.833501377965988,0.000746865034019702,0.00373432517009851,NA,0.00224059510205911,0.849185543680401,0.273352602451211,0.0575086076195171,1.06727013361415,0.0896238040823643,0.0014937300680394,0.206881614423458,0.000746865034019702,0.00224059510205911,0.230781295512088,0.566123695786934,0.657988094971358,0.104561104762758,NA,0.0343557915649063,0.590023376875565,0.00746865034019702,0.00298746013607881,NA,NA
"8320",0.0012362620381016,0.00185439305715239,0.00309065509525399,0.0012362620381016,0.00185439305715239,0.15515088578175,0.0290521578953875,0.0463598264288099,0.0117444893619652,0.278158958572859,3.32245422739804,0.270741386344249,0.585988206060156,0.517375662945518,0.614422232936493,0.226235952972592,0.0364697301239971,1.93104130351469,0.198420057115306,0.119299286676804,0.106318535276737,NA,0.18605743673429,0.0587224468098258,0.218200249724932,0.13166190705782,0.353570942897056,0.0809751634956545,0.0339972060477939,0.358515991049463,0.482142194859622,0.0364697301239971,0.676235334841573,0.0154532754762699,0.179257995524731,0.00309065509525399,0.0543955296764702,0.0383241231811495,0.151442099667446,0.0649037570003338,0.0012362620381016,0.0117444893619652,0.0395603852192511,1.74992891493281,0.0284340268763367,0.00741757222860958,0.0012362620381016,0.0883927357242641,0.00679944120955878,0.00927196528576197,0.0414147782764035,0.00247252407620319,0.000618131019050798,0.0717031982098926,0.00432691713335559,0.00927196528576197,0.179257995524731,2.94663056781515,0.765246201584888,4.74724622631013,0.399312638306816,3.55981653871355,2.00583515681984,20.8792295614979,3.77183547824797,2.34457095525968,4.39923846258453,32.2732386356612,0.86723781972827,0.0197801926096255,5.16633905722657,NA,NA,0.0859202116480609,0.00618131019050798,0.00309065509525399,0.0185439305715239,0.0173076685334223,0.0012362620381016,NA,NA,0.0012362620381016,0.00247252407620319,0.0012362620381016,0.000618131019050798,0.00618131019050798,0.00247252407620319,0.012362620381016,NA,0.00185439305715239,NA,0.000618131019050798,NA,0.00803570324766037,0.00556317917145718,0.0012362620381016,0.00185439305715239,0.000618131019050798,0.0179257995524731,NA,NA,0.00370878611430479,0.00618131019050798,0.00185439305715239,0.00679944120955878,0.000618131019050798,0.00309065509525399,0.0179257995524731,0.00556317917145718,0.431455451297457,1.32959982197827
"8321",0.0231116428299527,0.251509054325956,0.156343466202621,0.0271901680352385,0.125074772962097,0.0774919789004296,0.0747729620969058,0.0543803360704769,0.0203926260264288,0.0693349284898581,0.277339713959432,0.0435042688563815,0.293653814780575,0.836097667083583,2.82913698406656,NA,1.95497308173365,0.307248898798195,0.00135950840176192,0.791233889825439,0.00679754200880961,4.4129642721192,0.16993855022024,4.30828212518353,0.20528576866605,NA,6.3910489966828,0.0842895209092392,NA,16.6974821904399,2.60481809777584,14.5780085920931,NA,0.632171406819294,10.0603621730382,0.00407852520528577,NA,0.329001033226385,7.97895480994073,0.00679754200880961,0.0693349284898581,0.0407852520528577,NA,NA,NA,NA,0.00135950840176192,0.00543803360704769,NA,0.00271901680352385,NA,0.00271901680352385,NA,0.00135950840176192,NA,0.00271901680352385,NA,9.2079504051335,0.182174125836098,1.8244602751645,0.402414486921529,0.187612159443145,0.746370112567296,3.40420903801186,0.0135950840176192,0.973408015661537,0.791233889825439,1.30648757409321,2.50557398444722,0.0734134536951438,1.34319430094078,0.0135950840176192,0.00951655881233346,NA,NA,0.00407852520528577,NA,NA,NA,0.00271901680352385,0.00543803360704769,NA,0.00271901680352385,NA,NA,NA,0.0625373864810485,NA,NA,NA,0.00815705041057154,NA,NA,0.0108760672140954,0.0108760672140954,NA,NA,0.00951655881233346,NA,NA,NA,0.0190331176246669,0.0299091848387623,0.00135950840176192,0.00135950840176192,0.00135950840176192,NA,0.0122355756158573,NA,NA,NA
"8322",0.0284186322887333,0.0103340481049939,0.0361691683674788,0.105923993076188,0.100756969023691,0.0103340481049939,0.00258351202624848,0.0180845841837394,NA,0.116258041181182,4.23179269899501,0.640710982509624,2.16498307799623,5.05334952334203,0.467615676750975,2.32516082362363,0.0335856563412303,3.28622729738807,0.475366212829721,4.71749295992973,0.175678817784897,0.00258351202624848,1.5397731676441,0.702715271139587,1.94021753171261,1.44159971064665,4.29638049965123,0.514118893223448,0.961066473764435,4.97067713850208,1.94280104373886,6.10483891802516,1.64569716072028,0.00516702405249696,4.11811816984008,1.30984059730798,NA,0.160177745627406,0.501201333092205,0.2557676905986,NA,0.0387526803937272,0.0206680962099879,1.22975172449428,0.0387526803937272,0.00775053607874545,0.0103340481049939,0.13692613739117,NA,NA,0.0155010721574909,0.0594207766037151,0.00258351202624848,0.00516702405249696,0.00516702405249696,0.0413361924199757,0.0180845841837394,12.6927945849588,1.10574314723435,2.68943601932467,0.754385511664557,0.831890872452011,0.155010721574909,8.22073526752267,0.0852558968661999,1.43126566254166,1.56819179993283,2.29932570336115,0.81638980029452,0.0155010721574909,5.47962900767303,0.0465032164724727,0.198930426021133,0.519285917275945,0.105923993076188,0.0155010721574909,0.214431498178624,0.13692613739117,NA,NA,0.00516702405249696,0.0284186322887333,0.00775053607874545,0.0129175601312424,0.0258351202624848,0.00775053607874545,0.0180845841837394,0.0335856563412303,NA,0.00258351202624848,0.0155010721574909,0.0103340481049939,0.276435786808588,0.00516702405249696,NA,0.271268762756091,0.00775053607874545,0.0129175601312424,0.276435786808588,NA,0.0620042886299636,0.00258351202624848,0.00516702405249696,0.00516702405249696,0.00258351202624848,0.0180845841837394,0.0310021443149818,0.0258351202624848,NA,0.973984033895678,0.294520370992327
"8324",0.0148771571877922,0.170024653574768,0.13389441469013,0.0255036980362153,0.0935135594661226,0.29541783558616,0.61846467737822,0.274164753889314,0.280540678398368,0.0935135594661226,0.242285131344045,0.0361302388846383,0.165774037235399,1.35807192042846,3.51525971265834,0.0021253081696846,1.81926379325002,0.486695570857774,0.00637592450905381,0.624840601887274,0.00637592450905381,3.17308509733911,0.269914137549945,7.44920513474454,0.354926464337329,0.00425061633936921,4.05933860409759,0.223157357816883,NA,17.8398367763326,2.90742157612854,10.4373884213211,NA,1.24755589560486,10.0909631896625,0.00850123267873842,NA,0.291167219246791,14.6880047606903,0.010626540848423,0.0276290062058999,0.0722604777692765,NA,NA,NA,NA,0.0021253081696846,0.0170024653574768,NA,NA,NA,0.00637592450905381,NA,0.00425061633936921,NA,0.0021253081696846,NA,4.92008841281986,0.191277735271614,0.839496727025419,0.140270339199184,0.091388251296438,2.0572983082547,2.25707727620505,0.0021253081696846,0.943636827339964,0.675847997959704,0.975516449885233,1.74275269914138,0.13389441469013,1.20504973221117,0.010626540848423,0.0127518490181076,NA,NA,NA,NA,NA,NA,0.0021253081696846,0.00425061633936921,NA,0.0021253081696846,NA,NA,NA,0.114766641162969,NA,0.0021253081696846,NA,0.00850123267873842,NA,NA,0.0191277735271614,0.0021253081696846,NA,NA,0.0127518490181076,NA,NA,NA,0.00850123267873842,0.0382555470543229,0.00425061633936921,0.0021253081696846,0.00425061633936921,NA,0.010626540848423,NA,NA,NA
"8327",0.0211894335358101,0.549748081179074,0.0200122427838207,0.0576823468474832,0.0553279653435043,0.629797052314357,0.21542590761407,0.143617271742713,8.26741065122192,0.0400244855676414,0.0211894335358101,0.0164806705278523,0.098884023167114,0.0953524509111456,0.0270753872957574,NA,0.136554127230776,0.0847577341432406,0.00706314451193671,0.0105947167679051,NA,0.702782878937703,0.00824033526392617,0.062391109855441,0.0659226821114093,NA,0.34373969958092,0.627442670810378,NA,0.427320242972171,0.168338277534492,1.1607100814616,NA,0.164806705278523,0.979422705655224,NA,NA,0.0412016763196308,0.161275133022555,0.0023543815039789,0.130668173470829,0.012949098271884,NA,NA,NA,0.0812261618872722,2.43678485661817,0.0341385318076941,0.145971653246692,0.0918208786551773,0.0223666242877996,0.0588595375994726,2.26962376983566,1.11009087912605,0.141262890238734,0.479116636059707,NA,5.63992089278147,3.42797946979329,0.906436879031878,3.19489570089937,4.2520129961859,0.691010971417809,13.3411027922965,14.1969204689928,1.42557800065923,5.73409615294062,4.06719404812356,2.04360314545369,10.3322032302114,0.072985826623346,0.0482648208315676,0.638037387578283,NA,0.00353157225596836,0.00117719075198945,0.00470876300795781,NA,0.0176578612798418,0.15068041625465,0.0153034797758629,0.182464566558365,0.699251306681735,NA,NA,NA,0.565051560954937,NA,0.023543815039789,NA,NA,0.315487121533173,0.220134670622028,0.19305928332627,0.75222489052126,0.012949098271884,0.00117719075198945,0.413193953948298,0.00117719075198945,0.00117719075198945,0.294297687997363,0.380232612892593,0.407308000188351,0.0188350520318312,0.0023543815039789,0.0141262890238734,0.264867919197627,0.00588595375994726,0.00470876300795781,NA,NA
"8328",0.0903692228246837,0.0129098889749548,0.0258197779499096,0.0129098889749548,0.0258197779499096,0.103279111799639,0.0258197779499096,0.0129098889749548,0.0387296669248645,0.103279111799639,0.529305447973147,0.154918667699458,0.748773560547379,0.69713400464756,1.12316034082107,1.23934934159566,0.0774593338497289,0.684224115672605,0.580945003872967,0.116189000774593,NA,NA,0.67131422669765,0.464756003098373,2.69816679576556,0.129098889749548,0.0903692228246837,0.632584559772786,0.154918667699458,1.52336689904467,0.942421895171702,0.516395558998193,1.87193390136845,0.0129098889749548,0.296927446423961,8.21068938807126,NA,0.142008778724503,0.387296669248644,0.34856700232378,0.0387296669248645,1.14898011877098,0.0645494448747741,0.0129098889749548,0.0774593338497289,NA,0.335657113348825,0.103279111799639,NA,0.0129098889749548,0.0258197779499096,0.451846114123419,0.0516395558998193,0.129098889749548,0.129098889749548,0.335657113348825,0.0516395558998193,5.20268525690679,3.6276788019623,0.503485670023238,1.17479989672089,1.91066356829331,3.93751613736122,2.50451846114123,1.49754712109476,1.91066356829331,14.562354763749,20.5525432481281,2.32378001549187,0.955331784146656,2.36250968241673,0.116189000774593,NA,0.981151562096566,NA,0.0516395558998193,0.0516395558998193,0.258197779499096,NA,0.0774593338497289,0.0129098889749548,0.0258197779499096,NA,0.232378001549187,0.116189000774593,0.0774593338497289,NA,0.67131422669765,NA,0.0903692228246837,NA,NA,1.29098889749548,0.0903692228246837,NA,0.0387296669248645,0.0258197779499096,0.0258197779499096,0.503485670023238,0.0258197779499096,0.426026336173509,NA,NA,0.0258197779499096,0.0129098889749548,0.0516395558998193,0.0258197779499096,0.154918667699458,NA,1.35553834237026,0.929512006196747
