"cytof_barcode_id","B cells","Basophils","CD4 T","CD8 T","DP T","gdT","mDC","Monocytes","Neutrophils","NK cells","NKT","pDC","Platelets","Treg"
1986,9.68810601163542,0.0838316095669037,13.7483839689722,7.28021978021978,3.26539269553975,0.565610859728507,0.516119909502262,6.52876535229476,55.2824014221073,1.63825145442793,0.37673723335488,0.414107950872657,0.045450872656755,0.566620879120879
2015,1.82648401826484,0.0345551030482537,3.17906948043934,1.49327409601382,0.626928298161175,0.348019252128841,0.133283968900407,1.93755399234851,89.0485005553499,1.00950265333827,0.167839071948661,0.103665309144761,0.00987288658521535,0.0814513143280267
1786,2.7715514409001,0.0219037258237626,2.74088622474683,3.68347655936275,0.225608375984755,0.61549469564773,0.324905266385812,2.81316851996525,84.5958397523419,1.69096763359447,0.0905354000715522,0.20735527113162,0.0408869548710236,0.177420179172477
1823,12.6515276826012,0.0248115503674472,6.3092228077223,2.97974904889057,0.164228833384532,0.591932701623384,0.458422930598549,6.19934308466646,67.3739927692053,2.56976771662846,0.349724709941161,0.0602566223209433,0.0106335215860488,0.256386020463622
25153,6.56660412757974,0.0945713021858174,7.06691682301438,6.27526350310407,0.149483671196937,0.492685977516436,0.344727649903141,6.33322655928248,68.9867142573865,2.14768376576824,1.02503088820757,0.0671151176802575,0.042709620341982,0.407266736832471
25157,8.90595707991552,0.190632885359236,19.1642738680019,8.7295623353715,2.12622902840509,0.494379889417106,2.30710615061316,7.78061661696501,45.7808961063958,2.83681772279395,0.0727727197221981,0.295836925827196,0.0371773676841664,1.27774130352816
27412,14.4613386479163,0.20825402512484,21.4188145195602,9.24379156683163,2.78119891618335,1.0636630315516,2.66251651476812,7.97411380074792,32.0554448350762,7.06944040128087,0.335893588911033,0.156750341491815,0.0335893588911033,0.535190451664913
27419,12.9313214246089,0.133141018528792,9.24220570287363,4.7875291245978,4.69322090313991,0.443803395095972,1.28148230333962,13.1532231221569,49.0125374459115,1.75857095306779,1.07622323310773,1.12060357261733,0.149783645844891,0.216354155109287
27426,2.49503534831996,0.0563984430852331,8.46135515132258,9.44475335610454,0.333624592898562,0.312971641909604,0.671220907141155,11.5799507506553,62.9438398601954,1.87306378584479,1.50448804511875,0.0643418857732941,0.0929382794503138,0.166017952180475
27439,3.66203261305139,0.00616503806911008,2.68179156006288,4.17989581085663,0.268179156006288,0.502450602632471,0.638081440152893,12.7215560556086,72.9848031811596,1.74470577355815,0.314416941524614,0.0369902284146605,0.197281218211522,0.0616503806911008
27462,4.57005411906194,0.0213372645626831,5.50016487886253,2.41693014955483,0.458751188097686,2.94842201229802,0.425775415591721,8.34771982231878,72.2314899229919,2.26950904893993,0.55476887862976,0.0601322910402886,0.0872888095746125,0.107656198475355
27478,6.71798795065506,0.0430333747728794,6.22071339772401,4.65238596155685,5.19747537534666,1.22884192407,0.415989289471168,10.1510949603137,61.021325427943,3.10318446973319,0.14822606866214,0.019125944343502,0.726785885053075,0.353829970354786
27638,8.33318334803189,0.010798941703713,6.08160400280773,4.78213135112759,0.404960313889239,0.509350083691798,0.142186065765555,7.01391263656162,70.2939111967027,1.65403790428538,0.311369485790393,0.0161984125555696,0.0953906517161318,0.350965605370674
27669,13.2911205136551,0.0473414800130189,12.5602864159541,7.36160014202444,5.2549042814451,0.754504837707489,0.571056602657041,4.40275764121076,52.4484421694233,1.57114536793206,0.926117702754682,0.177530550048821,0.0532591650146463,0.579933130159482
28598,14.3401619818961,0.139749086866762,12.7743369858663,6.75242178815309,1.89931713514372,1.84214705415277,1.58805780530411,9.94124186120375,44.1956487216135,5.43433380975068,0.53676353819279,0.139749086866762,0.0921073527076386,0.323963792282039
28597,8.32379993593557,0.0320322152564865,6.36525877453897,19.0683201391113,1.96311719214753,1.03875898046035,0.462179105843591,11.4126206928111,47.0049878735185,3.30389420216904,0.448451013590811,0.256257722051892,0.169313137784286,0.151009014780579
28605,2.38597630254829,0.054103771032841,5.50776389114321,4.799004490613,1.37964616133745,1.40669804685387,0.578910350051399,5.13985824811989,55.7972190661689,3.8792403830547,1.01715089541741,0.0811556565492615,17.8867067034572,0.0865660336525456
29243,0.879508602867053,0.0209305107044612,1.88844464947802,1.10419122798025,0.255864814530046,0.249884668614486,0.138397662617254,1.00979035317033,91.5457822885164,2.12081603362551,0.30541459497326,0.0580928460368719,0.397679703384763,0.02520204350129
29251,12.0237506185057,0.148441365660564,13.079333663203,4.68414976084447,7.73544449942273,0.940128649183573,1.03908955962395,4.83259112650503,39.4029358403431,3.61207323107373,0.313376216394524,0.445324096981692,11.3310242454231,0.4123371268349
29252,1.49898127486174,0.528766857475502,30.5714562918405,9.69244202968856,14.0050451149704,0.853788687299893,4.25439022023867,16.99330552052,16.7070922673911,2.97370718928883,0.261957892694285,0.349277190259047,0.257106820607354,1.05268264286407
38019,11.0364156267162,0.104152858522544,32.0961236199746,13.0815990304316,1.54146230613366,0.681727801238472,1.54335599447043,3.96159600053023,28.4678167667165,5.02016778078664,0.329501770598595,0.314352263904407,0.0738538451341678,1.74787433484197
38027,11.3328946406376,0.0877385391533231,20.5527527966659,4.97185055202164,12.1956569423119,0.709219858156028,0.75308912773269,4.85486583315055,39.592015792937,3.23901440374351,0.314396431966074,0.160853988447759,0.431381150837172,0.804269942238795
42975,7.87204384907978,0.0850520944078248,6.19226498452524,4.48886053819075,1.69631677180051,1.00881234200392,0.406360006615163,6.76636662177806,68.0393129680818,2.60117655397264,0.193729770595601,0.0850520944078248,0.311857679495358,0.252793725045479
42976,11.496372802164,0.0942661584491168,13.0046313373499,6.09861059879503,9.20119677035944,0.692651338169597,0.684454280913152,4.47969179064716,49.2192302963236,3.3935817041682,0.528710193040698,0.196729374154678,0.405754334194024,0.504119021271364
38046,3.9666331790708,0.127637148174377,4.42365651608228,2.77549037368863,1.84950345032033,0.806172697178807,1.56952518980879,7.58123486882195,74.4243976350072,1.83385760635057,0.205866368023189,0.0975806584429915,0.163869628946458,0.174574680083664
42979,4.82335023681612,0.358989807701963,7.2818864956235,7.68606383156767,11.151277802882,2.52464393901357,3.0551789928202,9.84837073856504,49.9824270723503,2.20582082308246,0.371541898880353,0.2594098843534,0.277819618081706,0.173218858261786
