"cytof_barcode_id","NK cells_1","NK cells_2","DP T_3","Neutrophils_4","Neutrophils_5","Neutrophils_6","Monocytes_7","Monocytes_8","Monocytes_9","Monocytes_10","Platelets_11","Neutrophils_12","gdT_13","Neutrophils_14","B cells_15","CD4 T_16","Monocytes_17","Monocytes_18","Monocytes_19","Monocytes_20","pDC_21","Platelets_22","Neutrophils_23","DP T_24","CD4 T_25","DP T_26","NK cells_27","mDC_28","Monocytes_29","Monocytes_30","Platelets_31","Neutrophils_33","CD4 T_34","NK cells_35","CD8 T_36","Basophils_37","mDC_38","Monocytes_39","Monocytes_40","NK cells_44","NK cells_45","NK cells_46","CD8 T_47","CD8 T_48","CD8 T_49","NKT_50","NK cells_55","NK cells_56","CD8 T_57","CD8 T_58","NKT_59","gdT_60","B cells_61","B cells_63","B cells_64","CD4 T_65","CD4 T_66","CD4 T_67","CD8 T_68","CD4 T_69","CD4 T_70","B cells_71","B cells_72","B cells_73","CD4 T_74","gdT_75","Treg_76","CD4 T_77","CD4 T_78","CD4 T_79","CD4 T_80","B cells_81","B cells_82","CD8 T_83","CD8 T_84","CD4 T_85","CD4 T_86","CD4 T_87","CD4 T_88","CD4 T_89","Treg_90","B cells_91","B cells_92","CD8 T_93","CD8 T_94","CD8 T_95","CD4 T_96","CD4 T_97","CD4 T_98","CD4 T_99","CD8 T_100","Neutrophils_101","Neutrophils_102","Neutrophils_103","Neutrophils_104","Neutrophils_105","Neutrophils_107","Neutrophils_108","Neutrophils_109","Neutrophils_112","Neutrophils_113","Neutrophils_114","Neutrophils_115","Neutrophils_119"
699,0.0735074254958637,0.0535732084122396,0.0660320940895046,0.261636599222566,0.774942689125885,0.888318548788996,0.447273995813814,0.807335791886774,0.610485398185986,0.296521479118908,0.0523273198445131,0.138293631017642,0.0448519884381541,0.539469749825576,0.200588059403967,0.211801056513505,0.341373467557062,1.31067477324828,1.29323233330011,1.3916575301505,0.0361307684640686,0.0946875311472142,0.160719625236719,0.0411143227349746,0.139539519585368,0.114621748230838,0.0274095484899831,0.163211402372172,0.460978770058806,1.59722914382538,0.0647862055217781,0.161965513804445,0.012458885677265,0.0560649855476926,0.0834745340376757,0.017442439948171,0.0722615369281372,0.250423602113027,0.536977972690123,0.409897338782019,0.0323931027608891,0.325176916176617,0.02491777135453,0.0523273198445131,0.0735074254958637,0.236718827868035,0.0735074254958637,0.0884580883085817,0.00622944283863251,0.0161965513804445,0.159473736668992,0.616714841024619,0.260390710654839,0.276587262035284,0.0373766570317951,0.0137047742449915,0.105900528256753,0.00498355427090601,0.0859663111731287,0.112129971095385,0.473437655736071,0.0847204226054022,0.0772450911990432,0.242948270706668,0.00498355427090601,0.114621748230838,0.00872121997408552,0.00498355427090601,0.117113525366291,0.367537127479318,0.367537127479318,0.122097079637197,0.17816206518489,0.0012458885677265,0.0834745340376757,0.0710156483604106,0.0012458885677265,0.00373766570317951,0.0460978770058806,0.100916973985847,0.0635403169540516,0.0872121997408552,0.0336389913286156,0.109638193959932,0.30648858766072,0.019934217083624,0.00498355427090601,0.404913784511113,0.0274095484899831,0.0299013256254361,0.0485896541413336,3.18324529054121,6.14596830459484,13.2599920263132,0.326422804744344,0.603010066779627,1.62837635801854,0.872121997408552,20.2344762284461,13.4531047543108,6.73901126283265,1.40660819296322,10.1652048240805,1.46641084421409
708,0.00722787066930082,0.0240929022310027,0.197561798294223,0.426444369488749,1.58531296679998,0.746879969161085,0.293933407218234,1.28174239868935,0.238519732086927,0.544499590420662,NA,2.37556015997687,0.026502192454103,0.621596877559871,0.342119211680239,0.250566183202429,0.17828747650942,0.807112224738592,0.833614417192695,1.18055220931913,0.397532886811545,0.0192743217848022,0.286705536548933,0.108418060039512,0.717968486483882,0.337300631234038,0.0722787066930082,0.587866814436467,0.0722787066930082,1.52267142099937,0.00240929022310027,2.03825952874283,0.195152508071122,0.132510962270515,0.0626415458006071,0.332482050787838,0.281886956102732,0.110827350262613,0.334891341010938,0.161422444947718,0.332482050787838,0.183106056955621,0.0385486435696044,0.026502192454103,0.0505950946851058,0.159013154724618,0.363802823688141,0.289114826772033,0.330072760564738,0.284296246325832,0.053004384908206,0.660145521129475,0.472220883727654,0.549318170866863,2.02862236785043,3.04293355177565,1.69614031706259,3.66212113911242,0.0168650315617019,0.896255962993302,0.443309401050451,1.63349877126199,1.31788175203585,0.655326940683275,0.127692381824315,0.245747602756228,1.34679323471305,0.61195971666747,1.48412277742977,0.558955331759264,0.195152508071122,2.15872403989785,0.192743217848022,1.31065388136655,1.93706933937262,0.575820363320966,1.97320869271913,0.674601262468077,0.973353250132511,0.443309401050451,0.34693779212644,2.28159784127596,0.231291861417626,0.380667855249843,0.539681009974462,1.47689490676047,5.00891437382547,2.07921746253554,3.10557509757625,0.368621404134342,0.113236640485713,0.402351467257746,0.236110441863827,0.561364621982364,6.68578036910326,1.06008769816412,0.368621404134342,2.92969691128993,0.0409579337927047,7.46398111116465,1.35161181515925,2.30087216306076,5.44740519442972,1.48653206765287
711,0.00554686546632498,0.0127577905725475,0.00832029819948747,0.307851033381036,1.69179396722912,1.82103593259449,0.103171697673645,0.0554686546632498,0.222429305199632,0.0144218502124449,0.0349452524378474,0.0327265062513174,0.00554686546632498,0.139226323204757,0.12424978644568,0.217991812826572,0.220765245559734,0.114265428606295,0.219655872466469,0.174171575642604,0.0138671636658124,0.00832029819948747,0.0271796407849924,0.0171952829456074,0.296202615901754,0.0249608945984624,0.0288437004248899,0.0227421484119324,0.193585604774742,0.773233046005702,0.0371639986243774,0.0515858488368223,0.00388280582642749,0.0759920568886522,0.0543592815699848,0.00332811927979499,0.0288437004248899,0.0260702676917274,0.175835635282502,0.0393827448109074,0.0360546255311124,0.0859764147280372,0.0105390443860175,0.0221874618652999,0.0549139681166173,0.0216327753186674,0.215218380093409,0.0709998779689597,0.0288437004248899,0.0554686546632498,0.173062202549339,0.121476353712517,0.0881951609145672,0.204679335707392,0.0521405353834548,0.00388280582642749,0.01331247711918,0.00332811927979499,0.0693358183290623,0.245171453611564,0.574100575764635,0.00832029819948747,0.0199687156787699,0.178609068015664,0.012203104025915,0.0648983259560023,0.0260702676917274,0.0238515215051974,0.0116484174792825,0.0377186851710099,0.244616767064932,0.0637889528627373,0.0804295492617122,0.0382733717176424,0.0654530125026348,0.0244062080518299,0.0127577905725475,0.0931873398342597,0.0255155811450949,0.12203104025915,0.0970701456606872,0.0199687156787699,0.00942967129275247,0.154757546510467,0.449850789318956,0.00610155201295748,0.0438202371839673,0.241288647785137,0.0210780887720349,0.0316171331580524,0.0293983869715224,0.815389223549772,0.228530857212589,5.81034157597542,5.70106832628881,0.542483442606583,2.22706648472948,20.4091367967961,10.3121775884448,33.1807945330094,2.22817585782274,3.99374313575399,1.40391164952685,1.30961493659933
719,0.0537198111805786,0.0411470894149112,0.00571487352984878,0.037718165297002,0.171446205895464,0.164588357659645,0.107439622361157,0.23659576413574,0.592060897692334,0.149729686482038,0.138299939422341,0.00228594941193951,NA,0.0251454435313347,0.0925809511835503,0.276599878844681,0.420614691796871,0.176018104719343,0.432044438856568,0.932667360071322,0.00342892411790927,0.104010698243248,0.0240024688253649,0.0148586711776068,0.126870192362643,0.0445760135328205,0.0560057605925181,0.0594346847104274,0.0685784823581854,0.504051845332663,0.118869369420855,0.00342892411790927,0.0502908870626693,0.04686196294476,0.144014812952189,0.00114297470596976,0.00571487352984878,1.61045136071139,1.26070110068464,0.129156141774583,0.00114297470596976,0.770364951823616,0.480049376507298,0.177161079425312,0.0651495582402761,0.65835343063858,0.0148586711776068,0.152015635893978,0.00228594941193951,0.00228594941193951,0.0285743676492439,0.530340263569967,0.0868660776537015,0.308603170611834,0.042290064120881,0.0228594941193951,0.112011521185036,0.00914379764775806,0.0537198111805786,0.172589180601433,0.163445382953675,0.0148586711776068,0.0125727217656673,0.117726394714885,0.0148586711776068,0.0388611400029717,0.00228594941193951,0.0274313929432742,0.134871015304431,0.337177538261078,0.453760958269994,0.0674355076522156,0.075436330594004,NA,0.0297173423552137,0.0297173423552137,0.00114297470596976,NA,0.042290064120881,0.0125727217656673,0.0914379764775805,0.0194305700014859,0.00685784823581854,0.0834371535357923,0.164588357659645,NA,0.00114297470596976,0.163445382953675,0.00228594941193951,0.0365751905910322,0.0125727217656673,0.244596587077528,0.0731503811820644,34.128081745551,23.3726897623756,0.580631150632636,5.253111748637,11.4480346549931,2.88601113257364,5.35940839629219,1.58759186659199,0.337177538261078,0.126870192362643,0.321175892377502
721,0.265255987098913,0.251691760485901,0.970595770975569,0.545583337101174,0.327048575002638,0.544076200810839,0.696296966134648,2.66310982502148,4.16271043390454,4.29081701858299,0.476255067745776,4.07831080164579,0.00602854516133894,0.516947747584814,0.159756446775482,0.191406308872511,0.860574821781134,1.95777004114482,0.954017271781887,2.71435245889286,0.281834486292595,1.59756446775482,1.66990700969089,0.156742174194812,0.479269340326446,0.489819294358789,0.00904281774200841,0.854546276619795,0.865096230652138,2.87561604195867,1.3579297975916,14.7774713267321,0.00602854516133894,0.100978131452427,0.0843996322587452,0.0949495862910883,0.545583337101174,0.789739416135401,0.736989645973685,0.137149402420461,0.19743485403385,0.00301427258066947,0.0120570903226779,0.0301427258066947,0.0150713629033473,0.0678211330650631,0.290877304034604,0.0708354056457326,0.0376784072583684,0.0632997241940589,0.173320673388495,0.045214088710042,0.256213169356905,0.120570903226779,0.0180856354840168,0.0180856354840168,0.17181353709816,0.5380476556495,0.0120570903226779,0.138656538710796,0.0843996322587452,0.473240795165107,0.0859067685490799,0.0663139967747284,0.0346641346776989,0.0150713629033473,0.227577579840545,0.00904281774200841,0.177842082259499,0.0210999080646863,0.0150713629033473,0.277313077421591,0.0617925879037241,0.468719386294103,0.100978131452427,0.703832647586321,0.125092312097783,0.147699356452804,0.45214088710042,0.212506216937198,0.128106584678452,0.391855435487031,0.110020949194436,0.144685083872135,0.0632997241940589,1.94420581453181,3.51916323793161,0.162770719356151,5.2719627435909,0.105499540323431,0.0542569064520505,2.2607044355021,1.34888697984959,3.84922608551491,2.82738768066796,0.262241714518244,0.777682325812723,1.65031423791653,2.3692182484062,5.02780666455668,1.16200207984808,1.85076336453105,3.49504905728625,0.639025787101928
752,0.00588634820013584,0.020828616708173,0.00950871632329636,0.52388498981209,0.164817749603803,1.47520941815712,0.154856237265112,0.335974643423138,0.0624858501245189,0.158025809372878,0.000452796015395065,0.00135838804618519,0.000452796015395065,2.56554222322844,0.158025809372878,0.212361331220285,0.0805976907403215,0.0262621688929137,0.122707720172062,0.0357708852162101,0.00226398007697532,0.0244509848313335,0.0158478605388273,0.0249037808467285,0.121802128141272,0.0063391442155309,0.0122254924156667,0.0167534525696174,0.00950871632329636,0.00135838804618519,0.00316957210776545,0.00724473624632103,0.00679194023092597,0.0878424269866425,0.0946343672175685,0.000452796015395065,0.0153950645234322,0.00724473624632103,0.00543355218474077,0.0425628254471361,0.028073352954494,0.102331899479285,0.0113199003848766,0.00498075616934571,0.0153950645234322,0.0321485170930496,0.0520715417704324,0.0715417704324202,0.00181118406158026,0.00543355218474077,0.0756169345709758,0.0747113425401856,0.0185646366311976,0.0357708852162101,0.028073352954494,0.000452796015395065,0.00407516413855558,0.00181118406158026,0.0104143083540865,0.0602218700475436,0.0565995019243831,0.0131310844464569,0.035318089200815,0.0258093728775187,0.00271677609237039,0.0552411138781979,0.00452796015395064,0.00362236812316052,0.00362236812316052,0.014036676477247,0.0380348652931854,0.0339597011546298,0.0276205569390989,0.000905592030790129,0.00452796015395064,0.0276205569390989,0.00271677609237039,0.0144894724926421,0.00498075616934571,0.0271677609237039,0.0167534525696174,0.0063391442155309,0.0063391442155309,0.225039619651347,0.0412044374009509,0.00226398007697532,0.00271677609237039,0.0185646366311976,0.00271677609237039,0.00950871632329636,0.00588634820013584,3.34933212587729,14.6891555354313,3.42721304052524,7.229793977813,1.40321485170931,4.51256508942721,4.89698890649762,4.86438759338918,0.856690061127462,7.09259678514829,22.5542223228436,16.7964681910799,0.337333031469323
767,0.0105848908244118,0.00756063630315127,0.0136091453456723,0.0151212726063025,0.0514123268614287,0.095264017419706,0.0211697816488236,0.0241940361700841,0.0967761446803363,0.0982882719409666,0.0241940361700841,0.0196576543881933,0.00151212726063025,0.0226819089094538,0.0574608359039497,0.317546724732354,0.328131615556765,0.0272182906913446,0.0393153087763866,0.0559487086433194,0.0166333998669328,0.0302425452126051,0.0589729631645799,0.012097018085042,0.223794834573278,0.0438516905582774,0.122482308111051,0.0589729631645799,0.0302425452126051,0.657775358374161,0.0257061634307143,0.00756063630315127,0.128530817153572,0.0483880723401681,0.110385290026009,0.00756063630315127,0.012097018085042,0.459686687231597,0.387104578721345,0.0725821085102522,0.0438516905582774,0.576120486300127,0.155749107844916,0.173894634972479,0.0347789269944959,0.427932014758362,0.00453638178189076,0.179943144015,0.0287304179519748,0.0272182906913446,0.139115707977983,0.53226879574185,0.012097018085042,0.0982882719409666,0.0922397628984455,0.0347789269944959,0.0574608359039497,0.0801427448134035,0.0589729631645799,0.421883505715841,0.231355470876429,0.00302425452126051,0.0347789269944959,0.0756063630315127,0.0317546724732354,0.0756063630315127,0.0241940361700841,0.2948648158229,0.161797616887437,0.128530817153572,0.23589185265832,0.012097018085042,0.0483880723401681,0.0166333998669328,0.137603580717353,0.0317546724732354,0.0105848908244118,0.0408274360370169,0.0499001996007984,0.0483880723401681,0.145164217020504,0.00453638178189076,0.00604850904252102,0.211697816488236,0.142139962499244,0.00453638178189076,0.0181455271275631,0.0756063630315127,0.0166333998669328,0.0453638178189076,0.0241940361700841,1.05848908244118,3.66086009798585,48.7252767192887,2.46930381660921,0.41432286941269,16.8632432105486,2.91235710397387,11.0445775116434,1.04336780983488,1.17189862698845,0.582168995342648,0.480856468880421,0.163309744148067
860,2.27636660491695,0.18838896040692,0.430154792929134,1.02671983421771,6.33614870168608,0.364218656786712,0.226066752488304,1.25278658670602,0.395616816854532,0.351659392759584,3.24342993500581,0.326540864705328,0.037677792081384,1.84307199598104,0.128732456278062,0.0627963201356401,0.018838896040692,2.49301390938491,0.21978712047474,0.317121416684982,0.21978712047474,0.631103017363183,0.599704857295362,0.226066752488304,0.034537976074602,0.0784954001695501,0.119313008257716,0.433294608935916,0.386197368834186,0.17268988037301,0.367358472793494,0.483531665044428,0.043957424094948,0.0847750321831141,0.0973342962102421,0.150711168325536,0.304562152657854,0.0659361361424221,0.040817608088166,0.25118528054256,0.18838896040692,0.697039153505605,1.04555873025841,0.200948224434048,0.398756632861314,0.10989356023737,0.854029953844705,0.0973342962102421,0.0722157681559861,0.200948224434048,0.160130616345882,0.678200257464913,0.452133504976608,0.040817608088166,0.0879148481898961,0.028258344061038,0.028258344061038,0.00627963201356401,0.191528776413702,0.025118528054256,0.540048353166504,1.0643976262991,0.100474112217024,0.059656504128858,0.03139816006782,0.191528776413702,0.053376872115294,0.021978712047474,0.01569908003391,0.241765832522214,0.213507488461176,0.053376872115294,0.194668592420484,0.116173192250934,0.106753744230588,0.279443624603598,0.276303808596816,0.018838896040692,0.138151904298408,0.332820496718892,0.100474112217024,0.263744544569688,0.012559264027128,0.04709724010173,0.270024176583252,0.200948224434048,0.414455712895224,0.351659392759584,0.263744544569688,0.14129172030519,0.276303808596816,1.57932745141135,1.36268014694339,1.67666174762159,0.23548620050865,1.14917265848221,1.06125781029232,0.197808408427266,2.55895004552733,6.35184778171999,6.04728562906214,1.17743100254325,18.5374737040409,19.7777010267198
