"cluster","count","pct","CD45","CD33","CD26","CD11c","IgD","HLA.DR","CD57","CD49d","CD3","CD25","CD64","CD123","gdTCR","CD20","CD9","CD22","CD14","CD161","CD29","CD127","CD24","CD27","CD45RA","CD38","CD56","CD99","CD39","CD8a","CD5","CD7","CD4","CD16","lineage"
101,681930,0.0304637618915238,-1.75209315025955,-0.538953047623145,-0.772472958046167,-0.508226544192381,-0.368166389810866,-0.618546446993145,-0.229328594644527,-1.14861470506887,-0.592824898430874,-0.233730301542856,-0.479581589390712,-0.243065685959798,-0.241890272087775,-0.408462500706177,-0.485165137237834,-0.500376832870962,-0.43842996221344,-0.632640078038624,-0.820142411749022,-0.812554638455509,0.89510048832484,-0.455580427162049,-0.99293588325966,-0.74471862328629,-0.946120171016725,-1.09896643491262,-0.291521520980088,0.0111286089124836,-0.965514193935213,-0.904331151550284,-0.744015717135782,0.272674849249644,"Neutrophils"
102,1261725,0.0563648614558429,-1.73984809896471,-0.636149541220074,-0.735709415618427,-0.560875145228743,-0.37650497968166,-0.62515996894601,-0.229866816874579,-1.15387652021977,-1.05603232572191,-0.242345586905641,-0.499419630480951,-0.236312320915149,-0.23901252227377,-0.458777659858349,-0.854552052156837,-0.504207021705302,-0.448294449985511,-0.66331829949931,-1.08504111768891,-0.845699069932493,1.45178890273649,-0.83974016682686,-1.062900758075,-0.939051164586353,-0.85149051121315,-2.10275685188691,-0.125069311495141,0.798934097092739,-0.934420051730453,-0.898740023416018,-0.728359614662224,1.08634996277558,"Neutrophils"
103,1536599,0.0686442685594616,-1.33008722009326,-0.5619585414448,-0.630901445596912,-0.0969616280736706,-0.361550402183059,-0.606346133956188,-0.219159441732859,-1.13694471239342,-1.03374450407544,-0.242345586905641,-0.376175293601466,-0.226917548596421,-0.240778742246399,-0.45823040006031,-0.653701542136383,-0.487623552826497,-0.410246050373837,-0.579087077754447,-1.54759528276532,-0.634429220256647,1.14156665377364,-0.911352777622367,-1.01764706017884,-1.11828311082687,-0.898580854148538,-2.20644550698759,0.28866504313353,-0.560633916003571,-0.938778049399287,-0.888967768908695,-0.680406034154288,1.21792860590235,"Neutrophils"
104,1587758,0.070929687289549,-1.781985265446,-0.592931799429091,-0.615174403261992,-0.253447758539811,-0.368536586395421,-0.606346133956188,-0.219159441732859,-1.14073532192635,-0.983972051767253,-0.239883398224903,-0.293786390726653,-0.226917548596421,-0.240778742246399,-0.449108862936002,-0.492926935636032,-0.478932634218017,-0.403059451420878,-0.557971141140048,-1.19884325784499,-0.507730784343197,1.33832424051148,-0.867193325416211,-1.00002518033274,-1.10835145566538,-1.05380221582902,-1.99052420894545,0.236689375908884,-0.549739723199306,-0.930958423382186,-0.87988865085275,-0.668404255800418,2.14445948288912,"Neutrophils"
105,390468,0.0174433214234005,-1.64383644100377,-0.5619585414448,-0.76823274053298,-0.273082458092183,-0.371840673324112,-0.626566537237092,-0.232355088868584,-1.08544695263524,-1.04652069684233,-0.238324018657712,-0.566537860606218,-0.251178108971962,-0.228724983612248,-0.45823040006031,-0.124180121972568,-0.527950976614807,-0.451356836115034,-0.697707407673319,-1.0215995139486,-0.810654249981993,0.995672639736146,-0.625012341960022,0.241857160795357,-0.990056078669378,-1.3049969502761,-1.34526300389475,-0.146668438161897,-0.920101384885381,-1.04814893095447,-0.889497840306412,-0.784006264343673,1.96723004213332,"Neutrophils"
107,1607215,0.0717988870829638,-1.77693448147906,-0.60069100552558,-0.605924087451615,-0.410669788904693,-0.360953388679354,-0.608078842983118,-0.217165028688422,-1.1354348244377,-0.985371521800155,-0.227025512265607,-0.400248449625624,-0.212148715122236,-0.244416179287653,-0.437806332930662,-0.265492570686751,-0.479263154927394,-0.414653928746632,-0.567294784408724,-0.844913990919735,-0.695112042746402,1.25543138782797,-0.773772162086377,-0.997631890101958,-1.01189667368437,-0.962498119359664,-1.74578943067417,-0.315339857926237,-0.77254421221389,-0.957473861661357,-0.907457963713816,-0.699161343805284,1.2133689085345,"Neutrophils"
108,1367888,0.0611074660541005,-0.939642770136682,-0.361503735964956,-0.603257390427021,-0.171747002257384,-0.356397216270494,-0.600477644900388,-0.218440752545138,-1.10798259931476,-1.01444873955945,-0.238217766366519,-0.308662585976868,-0.227555441044773,-0.233526773208655,-0.451755412555455,-0.680735399458743,-0.483293637923382,-0.413824932642454,-0.579087077754447,-0.643267551040351,-0.613981561394607,1.46823914573486,-0.863548849913909,-1.01912724778584,-0.524072666492655,-0.408262024450821,-2.20119250263671,0.66845667535696,-0.467580089977164,-0.939863004420471,-0.890886727190366,-0.69313429252933,1.83000574068761,"Neutrophils"
109,1276075,0.057005916964683,-1.33293914394897,-0.325293868714237,-0.618143630077314,-0.250886954204081,-0.349966225917159,-0.603129187718436,-0.22052720889584,-1.10754326645274,-0.987078804065431,-0.238217766366519,-0.298879294206772,-0.215719546825893,-0.233461573828214,-0.434870081773682,-0.635710658234175,-0.474357982557822,-0.39896570941726,-0.579087077754447,-0.763311127663133,-0.617827549988829,1.30323443410616,-0.863382068697419,-1.01276077246748,-0.725382508961086,-0.200169208383215,-2.04143188113103,0.541282349015121,-0.170027044842464,-0.924394796233347,-0.87988865085275,-0.683037356726032,0.528663463895236,"Neutrophils"
112,1095036,0.0489183874688703,-0.867106271383964,-0.237667731846103,-0.58637682741064,1.40277913346461,-0.352853539282358,-0.601699755931893,-0.217637482155824,-1.09658031030422,-0.959421593411459,-0.241493246962828,-0.160391958965489,-0.219446425903523,-0.231717553918457,-0.438882569964906,-0.351254090599835,-0.474357982557822,-0.402015594129075,-0.597057763972924,-0.628902300734807,-0.485791228461299,1.30090887239699,-0.853591908373036,-1.00533780024642,-0.715757731605193,-0.784387188100704,-1.88152132719327,0.89056674362535,-0.400389231341433,-0.90551284421707,-0.876727332445501,-0.685709045633909,1.52326304632836,"Neutrophils"
113,515167,0.0230139821130771,-1.21048905534349,-0.435413096212204,-0.610189278055887,-0.00289774884596731,-0.370757904046761,-0.591180468585798,-0.210275983133206,-1.08275599764051,-0.92765282275688,-0.246759815669038,-0.210798271819034,-0.214125585185826,-0.225591284171434,-0.430480969756473,-0.44664363026737,-0.442394019698906,-0.379827152017093,-0.535652577783645,-0.692716543564402,2.0001695910332,1.33498777065918,-0.84709966650092,-1.00267807215392,-0.825284413814014,-0.487848137991514,-1.91139246686373,0.569197778063334,-0.0907695050626737,-0.872610080882163,-0.84274534000011,-0.635155371350618,1.51511489966809,"Neutrophils"
