"olink_id","IL8","TNFRSF9","TIE2","CD40.L","CD244","EGF","ANGPT1","IL7","PGF","IL6","MCP.1","CRTAM","CXCL11","MCP.4","TRAIL","FGF2","CXCL9","CD8A","CAIX","MUC.16","ADA","CD4","Gal.9","VEGFR.2","CD40","IL18","GZMH","LAP.TGF.beta.1","CXCL1","TNFSF14","TWEAK","PDGF.subunit.B","PDCD1","FASLG","CCL19","MCP.2","CCL4","IL15","Gal.1","PD.L1","CD27","CXCL5","HGF","GZMA","HO.1","CX3CL1","CXCL10","CD70","IL10","TNFRSF12A","CCL23","CD5","CCL3","MMP7","NCR1","DCN","TNFRSF21","TNFRSF4","MIC.A.B","CCL17","ANGPT2","IFN.gamma","LAMP3","CASP.8","ICOSLG","MMP12","CXCL13","PD.L2","VEGFA","LAG3","CCL20","TNF","KLRD1","GZMB","CD83","IL12","CSF.1"
4187,8.66546,7.79266,8.20076,7.68146,7.15698,8.77063,10.32083,4.2255,8.65501,8.89662,10.78469,5.883,8.95476,9.0408,8.50535,2.64937,7.07454,10.89459,5.15677,3.36854,6.54704,3.95384,7.49968,8.31348,9.66883,9.36788,4.63009,10.37371,9.71073,6.19985,8.34692,11.40511,5.8144,9.02119,10.65241,6.62105,6.90251,4.92821,5.68441,6.71724,8.12827,11.24897,10.19149,6.6672,11.85965,5.00579,8.27021,3.27457,2.73685,4.19766,10.61672,6.42907,6.40898,9.96949,4.47452,5.01133,9.57562,7.34286,7.12328,9.46825,7.56378,5.95627,5.09158,3.40324,5.54128,9.9577,9.22807,2.53398,11.05395,5.70673,7.99479,4.67543,7.43838,4.11901,2.8615,8.32617,10.49799
4203,4.67126,9.55085,7.63523,6.50091,6.65757,7.56387,9.13341,4.46452,9.28435,8.27122,10.64668,5.6586,8.08932,12.07987,8.84321,2.47929,9.23315,10.33867,5.0507,5.36307,6.44305,4.72989,7.95281,7.86823,10.57143,9.58499,4.8209,9.58103,9.14456,6.39725,7.64843,10.82404,6.82253,7.28629,14.0974,7.3175,6.88886,5.58496,6.11771,7.8379,9.512,9.5048,9.39109,6.48299,11.43169,5.11991,9.74476,4.36218,5.46963,4.58091,11.775,7.98508,6.63485,10.47744,4.56821,5.27805,9.60028,9.82548,6.35333,11.25122,7.83459,7.21496,7.23642,3.64036,5.76422,10.33598,12.08723,2.94983,11.29693,6.80963,9.04919,6.39789,7.04388,5.09217,3.49653,7.89644,10.73971
4207,7.74128,9.05808,7.51072,7.44851,7.03372,9.06067,10.15935,5.1708,9.70502,6.28574,11.31614,6.31747,7.54206,9.80274,8.59659,3.60261,8.12483,11.54808,5.15379,5.83544,6.40041,4.77994,8.16589,8.06212,10.16454,8.8954,4.56887,10.12404,9.61317,6.05559,7.87137,11.15749,7.18667,8.71965,11.73152,7.61785,7.66285,4.40112,6.38022,6.61284,8.7379,10.15261,8.75944,6.91293,11.78381,5.20814,9.10164,3.09153,5.11886,5.59853,9.75464,8.65187,6.34329,11.79839,5.49031,5.65696,9.74851,8.76001,7.49258,11.16708,7.62115,7.65522,5.46465,4.08824,5.81394,9.93697,10.01004,2.07503,11.98133,6.02786,8.26186,6.13842,6.93635,6.11338,3.63312,9.00307,10.40892
4184,4.50764,8.28738,7.76027,6.39016,7.01995,8.30164,9.60585,3.44892,8.25436,1.77583,9.34562,4.51931,6.9503,9.30765,8.34864,3.42132,7.03324,10.70568,4.52884,1.75792,6.72526,4.14877,7.61586,8.08766,9.18319,8.54325,3.80536,9.39104,8.54672,4.78562,8.87414,11.13008,6.39914,8.29895,10.20106,5.51948,6.56204,4.45525,6.38491,6.03688,8.11558,9.29756,8.08681,6.35734,10.19966,4.99305,8.48573,2.74614,3.19759,4.34823,10.23268,6.38469,5.68168,10.06094,4.46499,4.85126,9.30417,6.94397,2.2047,9.66014,5.36695,5.58014,4.65353,3.92853,6.04809,7.95639,9.50193,2.20337,9.41669,5.04503,6.8931,4.79937,6.59739,3.99839,3.07708,7.9472,9.62719
4215,5.35917,7.7649,7.72112,7.2304,6.80408,7.3759,10.32421,3.35877,8.01511,4.46183,9.67393,5.48828,7.04857,9.4439,8.25438,1.10864,7.0431,10.78825,4.77687,4.25108,5.74381,3.85031,6.93165,8.40769,9.10377,8.57118,4.30349,9.86813,8.15935,6.674,8.79863,11.22207,6.19776,7.80553,8.5659,7.2283,6.7246,5.01612,5.96513,5.94973,8.1603,9.00722,9.74699,6.51964,10.51404,5.14145,8.3302,2.55513,2.58759,4.42496,10.2757,6.50933,5.58028,10.03874,3.81571,5.08164,9.28002,6.39885,5.93591,10.66316,6.47599,5.3155,4.44554,3.42378,6.08673,7.20389,9.75891,2.61052,10.04432,4.67067,8.0626,4.46132,6.37881,4.06664,3.15589,6.83425,9.95983
4248,4.53679,7.2763,7.40356,5.76023,6.96376,7.39109,8.55931,3.4181,8.81406,3.35159,10.21764,5.44177,7.10331,9.03877,8.44904,1.48861,6.55624,11.06478,5.18361,4.77074,5.96113,3.72563,7.31408,7.74158,9.96625,8.1543,3.96408,9.23901,8.43678,4.70501,8.2675,10.27217,5.26425,7.26286,9.88683,6.98816,5.86926,4.98278,6.61981,6.28732,8.25667,8.2773,8.77556,6.51732,11.93512,5.52384,8.67182,2.9145,2.92418,5.24663,10.26442,6.12309,4.93083,11.81322,4.16643,5.7029,9.3263,6.57635,5.36417,7.76815,6.82891,5.24336,4.34205,2.8527,5.70665,6.81988,8.7801,2.22075,10.23056,4.72634,6.49157,3.97736,6.54824,3.66401,2.72784,6.32759,10.38167
4252,6.25788,8.73023,8.06548,6.96515,7.06743,9.09431,10.55217,5.04771,8.71545,2.873,9.95292,6.18557,8.3052,9.46544,8.72805,2.39658,7.20343,11.25523,4.47368,3.7233,7.63369,4.23744,8.18216,8.62519,9.87812,8.29317,6.28377,10.32837,9.3755,6.09329,9.1465,11.59397,7.35892,7.97616,11.28058,6.91027,7.43255,4.39085,6.70497,6.14598,8.55891,10.46485,9.14032,7.21023,10.95519,5.68505,8.54287,3.10319,3.39822,4.75729,9.57249,7.26637,5.79455,10.79284,4.61375,5.7198,9.62929,7.93166,6.02053,11.57964,6.81715,6.11423,5.41326,4.82114,6.2404,8.53004,10.17043,3.05199,10.99296,4.7867,6.78749,5.54464,6.67614,5.5386,3.9901,8.8058,10.17701
4258,3.63583,6.96068,7.50915,6.52245,6.71461,8.09189,8.74906,3.34563,7.84779,1.77583,7.77149,4.67011,6.90339,8.49171,8.14374,1.10864,6.16725,9.17034,4.89173,3.20984,6.17241,4.08779,7.2036,8.37313,9.31991,7.5669,3.68647,9.07816,9.43775,4.19705,8.54774,10.58589,4.60748,7.01534,7.58015,6.74465,5.75741,5.46467,5.73199,6.27421,8.08577,9.99369,8.15828,5.68422,10.72582,5.79043,8.14261,2.79234,2.71774,4.48124,10.41325,5.6541,4.18655,10.33263,3.5126,5.50687,9.16892,5.23075,6.46271,11.60387,5.96176,3.28642,3.70146,3.64881,6.05553,6.19034,10.18826,1.65714,9.46699,4.0772,7.17219,3.47895,5.76597,3.07651,2.17351,4.00382,9.54451
4260,2.85664,6.77067,7.12269,4.67021,6.30438,6.55044,8.58511,2.55419,8.34551,1.77583,7.55688,3.74926,4.63794,7.5629,7.88182,1.10864,5.25799,9.50505,5.49339,1.54052,6.68598,3.50941,6.52741,7.83548,8.82819,7.97314,3.8791,8.29634,5.64207,3.72798,7.98932,10.27778,4.79685,6.59634,7.54995,5.19023,5.49005,5.13061,6.32456,5.89856,7.06998,7.45266,8.08125,5.54438,10.53953,5.14848,7.01625,1.98259,1.84597,3.95032,9.62373,5.01183,4.15928,9.38386,3.19933,6.55242,8.8031,4.95249,5.99951,7.85135,4.94336,3.19743,3.50367,2.86031,6.00376,5.16443,8.12671,2.17276,9.11097,3.4806,5.63623,3.45204,5.74077,3.63045,1.95128,3.93716,9.82794
4272,3.37467,7.40607,7.44864,6.11088,7.01053,7.33978,9.50697,3.58761,8.32186,1.77583,8.33168,4.67271,6.1318,8.57895,7.60476,1.81056,5.85805,10.81231,4.68286,4.45559,7.18228,3.87037,7.26979,8.49126,9.39129,8.17698,3.83488,8.71265,7.89568,5.39326,8.7472,11.21735,6.04811,7.48738,7.85341,6.63638,6.27223,4.96032,6.24891,5.62884,7.91471,7.83062,8.42395,5.72605,10.88384,5.47721,7.49044,2.83294,2.65333,4.33637,11.32156,6.46934,4.89719,9.4596,4.25583,4.73073,9.2886,5.94362,5.13284,9.01923,6.30203,2.61159,4.47237,2.46152,5.96989,7.18791,10.21083,2.72091,9.31567,4.17128,7.02097,3.34074,6.30151,3.13181,2.75616,5.2213,9.65072
